[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][29/1874] Scanning asset: [1270396202.LargeRoadBridgeSuspensionPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][30/1874] Scanning asset: [1270396202.64m Pillar(4)_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][31/1874] Scanning asset: [1270401107.LargeRoadBridgeSuspensionPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][32/1874] Scanning asset: [1270401107.64m Pillar(4)_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][33/1874] Scanning asset: [1270403414.LargeRoadBridgeSuspensionPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][34/1874] Scanning asset: [1270403414.64m Pillar(4)_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][35/1874] Scanning asset: [1275797422.MediumBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][36/1874] Scanning asset: [1308307531.funi-pillar_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][37/1874] Scanning asset: [1329440631.Ramp Pylon_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][38/1874] Scanning asset: [1343099397.2OW Pylon_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
